annotator,source_url,source,extracted_by,line_start,line_end,rule_text,tag,user_comment,llm_rationale,created_at
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,65,65,First (C % num_cols) columns get (C / num_cols + 1) NVs.,PRESCRIPTION,,This requires using the stated column distribution rule for C.,2026-06-10 13:37:03.257062
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,66,66,"Distribute evenly, remainder goes to lower-indexed partitions.",PRESCRIPTION,,This requires work to be partitioned evenly with remainders assigned to lower indexes.,2026-06-10 13:37:03.306352
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,hand,jenny,69,72,"**Maximum safe back-to-back FETCH-DISPATCH operations = Number of Columns**
  - Each tile BRAM holds 128 NVs
  - Each FETCH brings 128 NVs to distribute
  - With N columns: N dispatches × 128 NVs = N columns × 128 NV capacity",PRESCRIPTION,,,2026-06-10 13:44:23.330458
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,89,89,Always use `./build_and_flash.sh` for automated workflow.,PRESCRIPTION,,This requires using the build_and_flash script for the automated workflow.,2026-06-10 13:37:03.371616
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,90,90,Keep recovery procedures ready.,PRESCRIPTION,,This requires having recovery steps available before problems occur.,2026-06-10 13:37:03.403696
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,91,91,"After any change, run `test_registers` to verify device health.",PRESCRIPTION,,This requires checking device health with test_registers after every change.,2026-06-10 13:37:03.436090
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,92,92,No Hardcoded Results.,PROHIBITION,,This forbids using hardcoded expected results in tests.,2026-06-10 13:37:03.468392
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,92,92,All tests must use golden references or computed values.,PRESCRIPTION,,This requires tests to compare against golden references or calculated values.,2026-06-10 13:37:03.501272
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,96,96,Edit RTL or software following modular design principles.,PRESCRIPTION,,This requires code changes to follow modular design principles.,2026-06-10 13:37:03.534166
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,97,97,Use `make clean &amp;&amp; make`.,PRESCRIPTION,,This requires building with the specified clean build command.,2026-06-10 13:37:03.567079
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,97,97,Never skip clean.,PROHIBITION,,This forbids skipping the clean step before building.,2026-06-10 13:37:03.599279
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,98,98,Use `./build_and_flash.sh` script.,PRESCRIPTION,,This requires programming with the specified script.,2026-06-10 13:37:03.631667
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,99,99,Run test suite starting with `test_registers`.,PRESCRIPTION,,This requires validation to begin with test_registers.,2026-06-10 13:37:03.664489
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,100,100,Update README.md for technical changes.,PRESCRIPTION,,This requires documenting technical changes in README.md.,2026-06-10 13:37:03.696310
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,100,100,Update CHANGELOG.md for fixes.,PRESCRIPTION,,This requires recording fixes in CHANGELOG.md.,2026-06-10 13:37:03.728384
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,hand,jenny,105,107,"**Dual-Memory Architecture**:
  - BRAM: Low-latency result storage and command buffering
  - GDDR6: High-bandwidth matrix data storage",PREFERENCE,could be prescription,,2026-06-10 13:45:01.578670
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,108,108,Clear separation of control and data paths.,PRESCRIPTION,,This requires the memory system to separate control and data paths clearly.,2026-06-10 13:37:03.760745
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,hand,jenny,109,110,- **Circular Buffer Pattern**: Dual-pointer management (rd_ptr/wr_ptr) for streaming results,PREFERENCE,,,2026-06-10 13:45:46.773849
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,hand,jenny,110,111,- **Hierarchical Buffering**: Multiple BRAM levels to decouple processing stages,PREFERENCE,,,2026-06-10 13:45:50.378716
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,hand,jenny,113,114,- **2-D Tile Array**: 16×16 compute tiles with row/column organization,PREFERENCE,,,2026-06-10 13:45:55.833460
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,hand,jenny,115,116,"- **row_bram**: Per-row activation storage (left matrix), one per row",PREFERENCE,,,2026-06-10 13:45:58.625976
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,hand,jenny,116,117,"- **mlp_bram**: Shared weight storage (right matrix), broadcast to all columns",PREFERENCE,,,2026-06-10 13:46:02.122130
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,117,117,All inter-module communication uses ready/valid protocol.,PRESCRIPTION,,This requires inter-module communication to use the ready/valid protocol.,2026-06-10 13:37:03.793296
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,118,118,FIFOs between pipeline stages for flow control and timing isolation.,PRESCRIPTION,,This requires FIFOs between pipeline stages for flow control and timing isolation.,2026-06-10 13:37:03.825933
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,119,119,Automatic partitioning across rows (V) and columns (C).,PRESCRIPTION,,This requires work distribution to partition V across rows and C across columns automatically.,2026-06-10 13:37:03.857370
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,127,127,Ready/valid signals between all FSMs.,PRESCRIPTION,,This requires all FSMs to communicate with ready/valid signals.,2026-06-10 13:37:03.889595
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,131,131,No Blocking Operations.,PROHIBITION,,This forbids blocking operations in the data flow architecture.,2026-06-10 13:37:03.921118
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,136,136,Core RTL modules - keep modular and parameterized.,PRESCRIPTION,,This requires core RTL modules to remain modular and parameterized.,2026-06-10 13:37:03.953199
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,137,137,Obsolete modules - do not use.,PROHIBITION,,This forbids using obsolete archived modules.,2026-06-10 13:37:03.987219
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,138,138,Essential tests only.,PRESCRIPTION,,This requires sw_test to contain only essential tests.,2026-06-10 13:37:04.020951
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,138,138,Archive obsolete tests.,PRESCRIPTION,,This requires obsolete tests to be moved to the archive.,2026-06-10 13:37:04.055009
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,139,139,Maintain clean test suites.,PRESCRIPTION,,This requires keeping simulation test suites clean.,2026-06-10 13:37:04.108114
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,140,140,Reference documentation - consult frequently.,PRESCRIPTION,,This requires frequent consultation of the documentation.,2026-06-10 13:37:04.142429
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,144,144,"Start with basic health checks, build complexity.",PRESCRIPTION,,This requires testing to begin with simple health checks before adding complexity.,2026-06-10 13:37:04.206916
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,146,146,Never assume.,PROHIBITION,,This forbids assuming results are correct without checking them.,2026-06-10 13:37:04.239954
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,146,146,Always verify against references.,PRESCRIPTION,,This requires validating results against reference outputs.,2026-06-10 13:37:04.277354
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,147,147,Run `test_registers` after every hardware operation.,PRESCRIPTION,,This requires running test_registers after each hardware operation.,2026-06-10 13:37:04.319207
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,151,151,"Update CLAUDE.md only for major architectural shifts, changes in development philosophy or workflow, new integration points with other projects, or critical operational procedure changes.",PROHIBITION,,This forbids updating CLAUDE.md for reasons outside the listed categories.,2026-06-10 13:37:04.376260
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,159,159,"For technical details, specifications, and implementation notes, update README.md instead.",PRESCRIPTION,,This requires putting technical details and implementation notes in README.md rather than CLAUDE.md.,2026-06-10 13:37:04.411423
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,180,180,AMD GEMM RTL: `/home/dev/Dev/elastix_gemm/amd_gemm/ip/` - Reference implementation (READ-ONLY).,PROHIBITION,,This forbids modifying the AMD GEMM RTL reference implementation.,2026-06-10 13:37:04.475198
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,185,185,Think rigorously.,PRESCRIPTION,,This requires careful and rigorous thinking.,2026-06-10 13:37:04.507785
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,185,185,Test thoroughly.,PRESCRIPTION,,This requires thorough testing.,2026-06-10 13:37:04.543410
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,185,185,Document clearly.,PRESCRIPTION,,This requires clear documentation.,2026-06-10 13:37:04.577515
