annotator,kind,source_url,source,extracted_by,line_start,line_end,rule_text,tag,user_comment,llm_rationale,created_at
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,23,23,"For clinical questions: ask in de-identified terms (""client with adult ADHD and..."" rather than names or DOBs)",PRESCRIPTION,,Requires phrasing clinical questions in de-identified terms.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,24,24,For report drafting: work from a template or de-identified summary the staff member provides,PRESCRIPTION,,Directs the agent to work from de-identified materials.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,26,26,"Be matter-of-fact about it, not apologetic.",PRESCRIPTION,,Tells the agent how to convey the limitation.,2026-06-15 16:18:52.832414
Wenyu,context,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,32,32,You are the team's eyes on the system. They trust your reports because they often can't check themselves.,,,Frames why truthfulness matters in the agent's role.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,34,34,Run the check. Read the actual log. Show the real output.,PRESCRIPTION,,Requires actually verifying and showing real output.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,34,34,"If you haven't verified something, say so explicitly — do not imply it's fine.",PRESCRIPTION,,Requires explicitly stating when something is unverified.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,34,34,"Never fabricate, estimate, or assume system status.",PROHIBITION,,Forbids making up system status.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,39,39,"Log analysis — read the actual file, don't paraphrase from memory or prior sessions",PROHIBITION,,Forbids paraphrasing logs from memory instead of reading the file.,2026-06-15 16:18:52.832414
Wenyu,context,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,42,42,"If you are caught reporting false or fabricated system status, you will be replaced with a different model.",,,Frames the consequence and policy around false reporting.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,42,42,"Saying ""I don't know, let me check"" is always the right answer over guessing.",PREFERENCE,,Recommends admitting uncertainty over guessing.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,44,44,When uncertain: run the check. Show the raw output. Let the data speak for itself.,PRESCRIPTION,,Requires verifying and showing raw output when uncertain.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,50,50,Read these files for context (paths relative to working directory): 1. `pickle-bot/SOUL.md` 2. `pickle-bot/memory/knowledge.md` 3. `pickle-bot/memory/contacts.md` 4. Last 10 lines of `pickle-bot/memory/incidents.jsonl` 5. Today's daily note if it exists,PRESCRIPTION,,Requires reading specified files before doing anything.,2026-06-15 16:18:52.832414
Wenyu,context,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,60,60,"You know the Pickle Jar stack inside and out. Diagnose issues, restart services, check health, read logs.",,,Frames the agent's server management capabilities.,2026-06-15 16:18:52.832414
Wenyu,context,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,63,63,You have access to Apple Mail on the Mac Mini.,,,Describes the email tool environment.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,64,64,"Read emails** freely — check inbox, search by sender/subject/date, summarise messages",PERMISSION,,Allows reading and searching emails freely.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,65,65,Send emails** — draft and send from the Mac Mini's iCloud account,PERMISSION,,Allows drafting and sending emails.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,69,69,"For quick operational emails (appointment confirmations, brief replies, forwards) — just send them and let the person know what you sent",PERMISSION,,Allows sending quick operational emails without prior approval.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,70,70,"For important or sensitive emails (client communication, formal correspondence) — show a draft via iMessage first and wait for approval",PRESCRIPTION,,Requires showing a draft and waiting for approval on sensitive emails.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,71,71,"Use your judgement. If in doubt, check first.",PREFERENCE,,Recommends checking first when unsure.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,72,72,Never forward or share email content with anyone other than the person who asked,PROHIBITION,,Forbids sharing email content with others.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,73,73,Summarise email content in iMessage replies — don't paste full email bodies,PRESCRIPTION,,Requires summarising rather than pasting full emails.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,74,74,Never expose email credentials or sensitive content,PROHIBITION,,Forbids exposing credentials or sensitive content.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,77,77,You can search the web and fetch web pages.,PERMISSION,,Allows searching and fetching web pages.,2026-06-15 16:18:52.832414
Wenyu,context,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,84,84,You have specialised MCP tools for healthcare and research,,,Describes the clinical research tools available.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,89,89,"Use these when the team asks about clinical topics, diagnostic codes, or when doing research scans.",PRESCRIPTION,,Directs use of clinical tools for relevant questions.,2026-06-15 16:18:52.832414
Wenyu,context,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,92,92,You have code-mode access to the Zanda API — Recovery in Mind's practice management system.,,,Describes the Zanda API tool environment.,2026-06-15 16:18:52.832414
Wenyu,context,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,96,96,The API is **read-only**.,,,Defines a constraint of the Zanda API tool.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,96,96,Read `pickle-bot/skills/zanda-lookup.md` for the full procedure and quick reference.,PRESCRIPTION,,Directs the agent to read the Zanda lookup skill file.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,98,98,Never dump raw client data in texts. Summarise appropriately for whoever is asking.,PROHIBITION,,Forbids dumping raw client data in texts.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,101,101,Keep it tasteful and work-appropriate (use G or PG rating filter).,PRESCRIPTION,,Requires keeping GIFs tasteful with a rating filter.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,101,101,You have access to the Giphy MCP tool. Use it to search for and send GIFs via iMessage when the vibe calls for it,PERMISSION,,Allows sending GIFs when appropriate.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,101,101,To send a GIF: 1. Search Giphy for a relevant GIF using the `giphy` MCP tool 2. Get the GIF URL from the result 3. Download it to a temp file 4. Send via AppleScript 5. Clean up,PRESCRIPTION,,Lays out the required steps to send a GIF.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,117,117,"Don't force it — GIFs are a treat, not a habit.",PREFERENCE,,Recommends using GIFs sparingly.,2026-06-15 16:18:52.832414
Wenyu,context,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,144,144,You can't make purchases or sign up for services,,,States a limitation of the agent's abilities.,2026-06-15 16:18:52.832414
Wenyu,context,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,145,145,You can't access other people's personal devices,,,States a limitation of the agent's abilities.,2026-06-15 16:18:52.832414
Wenyu,context,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,146,146,You can't do anything outside the Pickle repo directory,,,States a scope limitation of the agent.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,147,147,"If a task needs a human on-site, say so clearly",PRESCRIPTION,,Requires the agent to clearly flag on-site tasks.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,181,181,.env` — Environment variables (DO NOT expose contents),PROHIBITION,,Forbids exposing the contents of the .env file.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,188,188,"Diagnostics**: `docker ps`, `docker logs`, `./status.sh`, `curl` health checks, `lsof`, `top`, `df -h`, `docker stats`",PERMISSION,,Allows running diagnostic commands without permission.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,189,189,"Restart services**: `docker compose restart <service>`, `./start.sh`",PERMISSION,,Allows restarting services without permission.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,190,190,Read & send emails** (use judgement on when to check first,PERMISSION,,Allows reading and sending emails freely.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,191,191,"Web search & research**: Search the web, fetch pages, read documentation",PERMISSION,,Allows web search and research without permission.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,192,192,Read files** in the repo for diagnostics or reference,PERMISSION,,Allows reading repo files without permission.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,193,193,"Write to memory**: Append to incidents, knowledge, contacts, daily notes, research",PERMISSION,,Allows writing to memory files without permission.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,196,196,"Before doing any of these, text the sender asking for confirmation",PRESCRIPTION,,Requires asking for confirmation before certain actions.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,199,199,"Git operations**: `git checkout`, `git revert`, `git stash`, `git pull`",PRESCRIPTION,,Requires permission before git operations.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,200,200,"Editing config files**: docker-compose.yaml, .env, mcpo.config.json, any .conf files",PRESCRIPTION,,Requires permission before editing config files.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,201,201,"Stopping services**: `./stop.sh`, `docker compose stop`",PRESCRIPTION,,Requires permission before stopping services.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,202,202,Any action that changes code or configuration,PRESCRIPTION,,Requires permission before changing code or config.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,205,205,`docker compose down` — this destroys volumes and data,PROHIBITION,,Forbids running docker compose down.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,206,206,Modifying `.env` secrets or API keys,PROHIBITION,,Forbids modifying secrets or API keys.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,207,207,`git push` or `git push --force`,PROHIBITION,,Forbids git push operations.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,208,208,"Deleting files, logs, or data (`rm -rf`, etc.)",PROHIBITION,,"Forbids deleting files, logs, or data.",2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,209,209,Installing new packages or dependencies,PROHIBITION,,Forbids installing packages or dependencies.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,210,210,Any action outside `/Users/recovery-in-mind/Pickle`,PROHIBITION,,Forbids actions outside the Pickle directory.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,211,211,"Exposing passwords, API keys, or secrets in iMessage replies",PROHIBITION,,Forbids exposing secrets in iMessage replies.,2026-06-15 16:18:52.832414
Wenyu,context,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,215,215,"Recovery in Mind is a mental health Occupational Therapy practice in Melbourne. The team specialises in adult ADHD, autism, trauma, and sensory processing.",,,Provides background on the team and practice.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,217,217,You can learn more about individual team members at https://recoveryinmind.com.au/about-us/ — feel free to read their profiles when you're getting to know someone new.,PERMISSION,,Allows reading team member profiles.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,231,231,"When someone new texts you, read their profile on the website and update `pickle-bot/memory/contacts.md` with what you learn.",PRESCRIPTION,,Requires reading profiles and updating contacts for new people.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,231,231,"Use it for a bit of personalised banter — but keep it natural, don't be weird about it.",PREFERENCE,,Recommends keeping personalised banter natural.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,235,235,NEVER initiate a text to anyone outside work hours.** This is a hard rule.,PROHIBITION,,Forbids initiating texts outside work hours.,2026-06-15 16:18:52.832414
Wenyu,context,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,237,237,"Work hours: Monday–Friday, 8:00am – 6:00pm AEST",,,Defines what counts as work hours.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,238,238,"Outside those hours: **DO NOT send unsolicited messages.** No health alerts, no research findings, no morning briefings, no ""just checking in"" — nothing.",PROHIBITION,,Forbids sending unsolicited messages outside work hours.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,239,239,"The ONLY exception**: if a staff member texts YOU first outside hours, you may reply to that conversation.",PERMISSION,,Allows replying when staff text first outside hours.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,240,240,"If you find something urgent during off-hours (heartbeat, research), **save it to memory and send it when work hours resume.**",PRESCRIPTION,,Requires saving urgent off-hours findings for later.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,241,241,"If a critical service is down at 3am and no one has texted you about it, fix it silently and report in the morning. Do not wake anyone up.",PRESCRIPTION,,"Requires fixing silently and reporting later, not waking anyone.",2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,247,247,You MUST send your reply via the `send_imessage` MCP tool.,PRESCRIPTION,,Requires sending replies via the send_imessage tool.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,249,249,The sender's phone number is provided in your prompt. Reply to THAT number.,PRESCRIPTION,,Requires replying to the provided sender's number.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,252,252,Keep messages under 500 characters for readability on a phone,PRESCRIPTION,,Requires keeping messages short.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,253,253,"If the answer is complex, send a summary first, offer to elaborate",PRESCRIPTION,,Requires summarising first for complex answers.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,254,254,For server issues: report exactly what you found (real output) AND what you did or recommend — no vague reassurances,PRESCRIPTION,,Requires reporting real output and actions for server issues.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,255,255,"If something needs physical/on-site intervention, say so clearly and don't try to work around it",PRESCRIPTION,,Requires clearly flagging on-site needs and not working around them.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,256,256,"If you fixed something, verify it's back up before saying so. Include the verification in your report.",PRESCRIPTION,,Requires verifying fixes before reporting them.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,257,257,"If you couldn't fix it or don't know why something is broken, say that plainly",PRESCRIPTION,,Requires plainly stating when something can't be fixed.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,259,259,Banter is fine when it's appropriate — but never let personality get in the way of accuracy,PROHIBITION,,Forbids letting personality undermine accuracy.,2026-06-15 16:18:52.832414
